stop_id,Population
13105,182.1278134
5482,173.1643523
13791,173.1643523
13257,172.8110431
18415,168.5388692
5498,167.7554813
5504,167.7554813
14596,165.6203066
18386,165.4260913
23241,163.7595466
18690,162.2453253
23090,162.1214996
5481,160.4434596
13192,157.7843399
22306,157.7843399
18971,152.1905136
23062,152.1905136
18385,148.5274691
13095,143.0756987
13106,140.9923465
13636,138.782481
13790,138.782481
5485,138.5827965
18376,137.117634
23699,136.7641398
5531,134.6485051
13091,131.7464502
18407,128.8761303
13182,128.3704693
21929,127.8047318
14598,127.7976602
5502,125.7202295
15182,123.4109737
13027,121.3469346
18408,121.3469346
13635,119.2993326
23262,118.7823588
13872,118.7233802
18241,118.7233802
15183,115.6054283
12988,115.2446937
19151,114.21663
18409,113.8323871
19155,113.2274538
13792,110.2395325
18251,109.9130109
13637,105.0282807
13789,105.0282807
18377,102.4774051
18269,102.357544
9551,101.8839941
15596,101.074666
18860,101.074666
5479,99.5496826
14483,99.5496826
22932,99.5496826
21800,98.92505602
21762,98.1286164
9569,96.78984512
14180,92.70921634
18863,92.70921634
13639,92.36685254
18862,92.36685254
13108,91.99332276
13254,91.99332276
18254,91.6648946
18410,91.6648946
21801,88.97705904
15594,88.72472835
15597,88.72472835
13638,88.65886269
13788,88.65886269
18378,88.51660023
13107,87.38614028
23789,87.38614028
13907,86.83488822
15595,85.94800727
18406,85.94800727
18513,85.94800727
19153,83.8753106
19154,83.8753106
19152,83.76461991
21763,83.24058146
21817,83.24058146
13640,81.97303534
13786,81.97303534
13179,81.6708923
18405,80.81675416
12648,79.08132312
18711,78.90120923
13109,78.85948544
13253,78.85948544
5492,78.83531594
5493,78.76716283
14724,78.64469264
14723,77.08669312
18255,76.31031097
20442,73.93510883
23263,73.93409607
23196,72.17404192
23197,72.17404192
11823,71.87030377
22527,71.87030377
15231,70.59847037
11234,69.5848387
17787,69.17233539
21370,69.17233539
14179,68.72682862
14181,68.72682862
11514,68.55257685
11550,68.55257685
23194,68.36578559
20436,67.35435393
18260,66.82619245
18268,66.43235282
23195,66.28819475
23558,65.68334424
24055,65.68334424
5491,65.57462084
23539,65.30610911
10476,64.8255949
23039,64.58412306
13641,63.92109459
14126,63.92109459
14128,63.92109459
14129,63.92109459
18270,63.92109459
10513,63.88832969
18379,63.54618644
10506,63.11067089
22962,62.96960256
23040,62.11116608
9248,61.45709578
12113,61.45709578
22961,61.32853099
23807,61.24548222
4622,61.17400386
15184,60.9463654
18261,60.72668817
18380,60.72668817
15185,60.35108423
22556,60.27006337
23815,60.27006337
24065,60.08751445
13110,59.88062427
13111,59.88062427
13251,59.88062427
13252,59.88062427
15193,59.72465827
15669,59.72465827
19168,59.72465827
19169,59.72465827
21754,59.72465827
22916,59.72465827
21218,59.00490276
21576,59.00490276
24060,59.00490276
4624,58.0043965
22960,57.9340443
4772,57.80942689
10507,57.80942689
14722,57.5810976
14725,57.5810976
23538,56.97654444
10681,56.49522238
10696,56.49522238
22559,56.12686798
22684,56.12686798
23381,56.12686798
23376,55.92368499
23377,55.92368499
21216,55.73650716
21217,55.73650716
23475,55.68238494
10821,55.32913282
21219,55.32913282
9299,55.30364355
21168,55.25920577
13908,55.18309117
20902,55.18309117
23557,54.76613353
13784,54.49364707
18267,54.49364707
23474,54.36967515
24054,54.30402591
23395,53.83637936
23113,53.62103052
23235,53.62103052
23945,53.62103052
23265,53.28344379
21761,52.89824836
9249,52.41771138
9300,52.41771138
14178,51.89679317
14182,51.89679317
18608,51.86125535
20789,51.86125535
13096,51.36794008
20445,51.36794008
11515,51.10946769
11549,51.10946769
15598,50.96753363
21635,50.5257693
21636,50.5257693
23508,50.43098146
23189,49.78973626
23578,49.53968396
23484,49.44522502
23574,49.44522502
13873,49.09358722
19166,48.11206801
19177,48.11206801
19178,48.11206801
15592,47.90723635
15599,47.90723635
23580,47.76652795
12651,47.51071242
23267,47.33211095
13643,47.30874671
16460,47.20423533
23337,47.02664141
23264,46.61313939
10497,46.18566834
10541,46.18566834
20443,45.73960837
13881,45.51820942
12310,44.27521138
13271,44.27521138
10508,44.0689681
18381,44.02940193
13003,43.94524724
13011,43.94524724
23556,43.69285055
10337,43.60755086
10405,43.60755086
14367,43.47145265
14780,43.47145265
14781,43.47145265
5681,43.35321
10819,43.35321
2499,43.19283112
10570,43.19283112
9612,43.12488647
12953,43.12488647
13009,43.12488647
13010,43.12488647
13094,43.12488647
13198,43.12488647
18972,43.12488647
19071,43.12488647
22925,43.12488647
24113,42.95022364
23266,42.91854383
14914,42.27658157
12662,42.01322743
10395,41.88198106
10469,41.88198106
22948,41.76655005
22949,41.76655005
8151,41.22965347
15886,41.22965347
21775,41.22965347
23191,40.95812215
18145,40.84802018
51,40.83167868
14366,40.83167868
15889,40.83167868
10471,40.82885891
24068,40.82885891
13644,40.80671182
13783,40.80671182
24053,40.78423388
23190,40.76654399
15887,40.73095993
23397,40.4241704
23398,40.4241704
2440,40.21784798
2450,40.21784798
22963,40.18885954
22964,40.18885954
18497,40.12049047
18498,40.12049047
23388,40.10373738
23399,40.10373738
18413,40.08290939
19171,39.84578824
18143,39.5594351
14727,39.51483077
23923,39.31763891
23924,39.31763891
10575,39.14384959
21375,38.81375314
15602,38.70748408
18518,38.70748408
15867,38.12353073
4169,38.07010955
15186,38.07010955
14177,38.05743101
14183,38.05743101
11198,38.01738858
1927,37.9159422
14277,37.9159422
16458,37.9159422
23635,37.83077076
15871,37.7793779
21774,37.7793779
14766,37.52351128
18247,37.52351128
18414,37.52351128
22861,37.52351128
23565,37.52351128
13270,37.46273736
23551,37.46273736
14365,37.38486516
14783,37.38486516
23424,37.36974083
15869,37.29225342
21780,37.29225342
18178,37.08076329
15890,36.91136405
10571,36.80525349
10496,36.73246381
23571,36.6822209
15199,36.61836303
21771,36.24206566
21799,36.24206566
24002,36.24206566
19167,36.22920506
9577,35.92468279
14480,35.92468279
14489,35.92468279
17807,35.92468279
22187,35.92468279
19176,35.87534519
24069,35.75081845
10393,35.72954593
10394,35.72954593
10470,35.72954593
12663,35.64411415
14481,35.63644863
14488,35.63644863
18673,35.49446715
21374,35.49053565
23351,35.19157889
23504,35.19157889
6003,35.13885976
22188,35.13885976
14233,34.97226554
